State (2013),Number of Households (1000s),Number of Households (PCT),Unbanked
AK,277,100,1.9
AL,2057,100,9.2
AR,1242,100,12.3
AZ,2542,100,12.8
CA,13537,100,8
CO,2121,100,6.4
CT,1442,100,5.6
DC,332,100,11.8
DE,373,100,6.1
FL,8107,100,6.2
GA,3934,100,10.9
HI,472,100,3.8
IA,1264,100,4.5
ID,622,100,5.4
IL,5073,100,7.4
IN,2647,100,7.2
KS,1181,100,6
KY,1844,100,9.7
LA,1786,100,13.9
MA,2661,100,5.8
MD,2277,100,4.8
ME,562,100,2.4
MI,3911,100,5.7
MN,2177,100,3.6
MO,2485,100,8.9
MS,1126,100,14.5
MT,426,100,6.6
NC,3843,100,8.4
ND,297,100,2.8
NE,781,100,5.7
NH,544,100,2.9
NJ,3283,100,8.2
NM,857,100,10.9
NV,1134,100,7.9
NY,7736,100,8.5
OH,4786,100,7.2
OK,1569,100,10.9
OR,1590,100,4.5
PA,5267,100,5.2
RI,434,100,6.2
SC,1945,100,10.5
SD,334,100,4.2
TN,2627,100,9.7
TX,9678,100,10.4
UT,972,100,3.3
VA,3206,100,6.5
VT,269,100,3.1
WA,2699,100,4.1
WI,2380,100,4.8
WV,791,100,11
WY,249,100,5.6
